,index,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,category,description,title,also_buy,rank,also_view,price,asin,match_value
10,10,0771074670,Nights Below Station Street,David Adams Richards,1988,Emblem Editions,http://images.amazon.com/images/P/0771074670.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg,"['Books', 'Biographies &amp; Memoirs', 'Regional Canada']","['<b>Praise for <i>Nights Below Station Street</i>:</b><br /><br />David Adams Richards has illuminated the human struggle for love and belonging.<br /><i>Macleans</i><br /><br />Richards depicts his characters with such searing fidelity that we are forced to marvel at his talent.<br /><i>Globe and Mail</i><br /><br />An exploration of the nature of love and the process of redemption.<br /><i>Ottawa Citizen</i><br /><br />A warning label should be attached to every copy: Youll hate for this book to end.<br /><i>Halifax Daily News</i><br /><br /><br /><i>From the Hardcover edition.</i>', 'David Adams Richards is the acclaimed author of numerous works of fiction and non-fiction, including The Giller Prizewinning <b>Mercy Among the Children</b>, <b>The Friends of Meager Fortune</b>, and, most recently, <b>River of the Brokenhearted</b>.', '', '']",Nights Below Station Street,"['0771034857', '0771034873']","1,603,311 in Books (",[],$9.37,0771076274,100
11,11,080652121X,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,2000,Citadel Press,http://images.amazon.com/images/P/080652121X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080652121X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080652121X.01.LZZZZZZZ.jpg,"['Books', 'Politics &amp; Social Sciences', 'Politics &amp; Government']","[""Dr. Lattimer was a U.S. Army surgeon who had access as a consulting urologist to the Nazi leaders tried for war crimes at Nuremberg. This book records his professional impressions of those men and their medical conditions. Included is a lengthy chapter on Adolf Hitler's health problems, with a resulting (and surprising) diagnosis of advanced Parkinson's disease. More important than the text, which needs more editing and some scholarly documentation, are the photographs, many showing personal artifacts of the Nazi leaders. More than 400 are reproduced, many from the author's collection and not available elsewhere. World War II buffs will probably enjoy, historians less so. For public libraries with adequate book budgets.AEdward Gibson, Langston Hughes Memorial Lib., Lincoln Univ., PA <br />Copyright 1999 Reed Business Information, Inc."", 'People don\'t get sicker and more secretive than Hitler and his cronies. Hitler had parkinsonism, Lattimer posits, probably the ""faster moving post-encephalitic"" sort, and he cites reports of Hitler\'s tremors, first in the left hand, then spreading to other limbs; his well-documented attacks of rage; and the discontinuation of his ""powerful public appearances"" after 1940 as chief among many clues supporting his thesis. As for the fuhrer\'s sidekicks, Lattimer reveals how Goring\'s tailors coped with his ponderous and fluctuating physique and presents photographic evidence of his daughter Edda trying to avoid the fuhrer\'s attentions. Jodl, Keitel, the insufferable Ribbentrop, Speer, and Streicher all receive Lattimer\'s scrutiny, but there are no chapters on Himmler and Goebbels, who both cheated justice--and this book based on discoveries of the Nuremberg trials--by committing suicide before they could be tried. Good, disquieting reading about some of history\'s master miscreants. <i>Mike Tribby</i>', '', '']","Hitlers Fatal Sickness and Other Secrets of the Nazi Leaders: Why Hitler ""Threw Victory Away",['0781808960'],"3,269,142 in Books (",[],$37.00,0781807425,53
12,12,0887841740,The Middle Stories,Sheila Heti,2004,House of Anansi Press,http://images.amazon.com/images/P/0887841740.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0887841740.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg,"['Books', 'Literature &amp; Fiction', 'Short Stories &amp; Anthologies']","['<a href=""http://www.amazon.com/gp/feature.html?docId=1001006001""><strong>Amazon Best Books of the Month, February 2013</strong></a><strong>:</strong> What a stunning debut collection-- funny, sad, heartfelt, and wise. Jim Gavin, a writer for the <i>New Yorker</i>, has trained his keen eye on the awkward and sobering stages of manhood: the yearning in-between stages; the striving but not-quite-there stages; those aching periods of want. Yet theres a touching lack of the pathetic in the aspirations of these characters: the self-denying basketball player, the unemployed screenwriter, the widowed plumber. In fact, I found it fascinating to recognize my sons, my father, and my brother in these pages (and, yes, myself). Gavins men in the middle may be lazy or nave, they may be underemployed or a bit lost, but theyre also hopers and dreamers, seeking better, brighter days amid the hazy Southern California warmth. --<i>Neal Thompson</i>', 'Reading Gavins first story collection is like listening to a bunch of guys swapping stories in a bar. The storytellers take hard looks at themselves, softened by a small gloss of nostalgia for better times and brighter dreams. Although Gavins characters seem quite similar, the stories they tell, of men searching for ways to bridge where they are and where they want to be, are distinctive and powerful. These middle men, all living in California, as evidenced by the recurrent appearance of Del Taco, know what it means to see the goal and know that it cant be reached. Gavin plumbs the hearts and minds of his men with laserlike accuracy, but he also brings surprising humor to the stories, especially in the relief that his characters often feel when they realize that they wont be able to live up to their own expectations. --Bridget Thoreson', '', '']",Middle Men: Stories,[],"1,505,216 in Books (","['1514356155', '1501174479', '0812988639', 'B07HFYZY7D', '0947993800', '0062450522', '0812997417']",$14.94,1451649312,78
13,13,1552041778,Jane Doe,R. J. Kaiser,1999,Mira Books,http://images.amazon.com/images/P/1552041778.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1552041778.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg,"['Books', 'Mystery, Thriller &amp; Suspense', 'Thrillers &amp; Suspense']","['When the unidentified corpse of a young girl appears on the shore of the Sacramento River behind Detective Frank Keegan\'s Riverton, Calif., home one February morning, the cop faces a daunting task. Because of an uncharacteristic alcoholic blackout, he must piece together an alibi for the previous evening. An arrest by Riverton\'s newly appointed police chief, Abby Hooper, seems imminent, as the physical evidence increasingly points to Keegan. Young Hooper is in a tight spot herself: Keegan\'s the man she beat out for the police chief job. But shocking clues as to the identity of ""Jane Doe"" surface in the nick of time, after a prominent citizen commits suicide. Kaiser (Payback) skillfully unfolds his complex story line as Keegan and Hooper join forces in a foray into the treacherous underworld of child prostitution. Complicating matters further, the pair must grapple with their intense mutual attraction (despite a formidable age difference and Keegan\'s past love affair with Hooper\'s estranged mother). Kaiser again demonstrates his flair for making even the most unlikely relationship credible and compelling. (June)', 'Copyright 1999 Cahners Business Information, Inc.', '', '', '']",Jane Doe,[],"3,006,856 in Books (",[],$25.25,1551665107,100
14,14,1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,Health Communications,http://images.amazon.com/images/P/1558746218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg,"['Books', 'Self-Help', 'Spiritual']",[],Second Helping of Chicken Soup for the Soul: 101 More Stories to Open the Heart (Chicken Soup for the Soul (Sagebrush)),[],"5,965,621 in Books (","['1558744002', '1935096567', '161159913X', '155874262X', '161159961X', '1935096486', '1558744150', '1558743820', '1935096176']",,061312412X,68
15,15,1567407781,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,1998,Brilliance Audio - Trade,http://images.amazon.com/images/P/1567407781.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1567407781.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg,"['Books', 'Comics &amp; Graphic Novels', 'Graphic Novels']","['Mike Mignola was born September 16, 1960 in Berkeley, California and grew up in nearby Oakland. His fascination with ghosts and monsters began at an early age and reading Dracula at age 13 introduced him to Victorian literature and folklore from which he has never recovered. In 1993 Mike created <i>Hellboy</i>-- a half-demon occult detective who may or may not be the Beast of the Apocalypse. While the first story line, <i>Seed of Destruction</i>, was co-written by John Byrne, Mike has continued writing the series himself. There are numerous <i>Hellboy</i> graphic novel collections with more on the way, several spin-off titles (<i>BPRD</i>, <i>Lobster Johnson</i>, <i>Abe Sapien</i> and <i>Witchfinder</i>), three anthologies of prose stories, several novels, two animated films, and two live action films staring Ron Perlman. <i>Hellboy</i> has earned numerous comic industry awards and is published in a great many countries. The author lives in Los Angeles, California.', '', '']",Witchfinder Volume 3 The Mysteries of Unland,"['1506701663', '1595827943', '1595824839', '1506701558', '161655505X', '150670672X', '1506704980', '1506702066', '1506705316', '1506701787', '1506701434', '1616553952', '1506702074', '1616557826', '1506703453', '1616559675', '1616556226', '1616552034', '1595826769', '1506706835', '1506701965', '1616556463', '1616556412', '1616556609', '1595826750', '1506703607', '1616550317', '1506703887', '1506705383', '1506704883', '1616558970', '1506703852', '1595827560', '1616555106', '1506704905', '1616552387', '1506704662', '1506706541', '1593079753', '150670011X', '1506701310', '1506706533', '1506702201', '1616559101', '1506706657', '161655794X', '1506706649', '1506711987', '1506706673', '1506706665', '1616553286', '1595829253', '1616557621', '161655617X', '1506706681', '1616556560', '1506703631', '1616556188', '1616558210', '1616558911', '1506701132', '1401258069', '1616555157', '1506700314', '1616554029', '1506701973', '1506707491', '1506708145', '1595826734', '1506708153', '1616551828', '1595821856', '1616554436', '161655133X', '1616554444', '1506710492', '150670042X', '1595828869', '1616554711', '1506703437', '1506710506', '1595827072', '1506711995', '1616551968', '1595826580', '1593079109', '1616551992', '1616559640', '1616551402', '1506706827', '1250077680', '1595826742', '1595825010', '1616557869', '1593079893', '1595829814', 'B00IF8Q5MQ', '1401211534', '1506705448']","131,351 in Books (","['1506706649', '1595824839', '1506701663', '1595827943', '1593079753', '1506706835', '161655505X', '1616553952', '1616557826', '1616555106', '1616556463', '1616552034', '1506705316', '150670672X', '1506701787', '1616551968', '1506701558', '1616556412', '1506704980', '1595826750', '1506706533', '1506703453', '1506704905', '1506702066', '1616556609', '1506703607', '1595827560', '1616550317', '1616552387', '1506704883', '1506701965', '1616556226', '1616559675', '1616558970', '1506705383', '1506702074', '1506708153', 'B0068F26Z8', '1506703631', '1506704662', '1506707491', '1595826769', '1506703437', '1506706541', '1506701434', '1506701132', '1506701973', '2756069957', '1785658832', '1616559640', '1595828869', '1506706681', '1506706665', '150670395X', '1506706673', '1781165742', '1595823522', '1506703852', '1506703887', '0785156593']",$16.00,1616556307,70
16,16,1575663937,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999,Kensington Publishing Corp.,http://images.amazon.com/images/P/1575663937.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1575663937.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg,"['Books', 'Science & Math', 'Biological Sciences']",[],More Cunning Than Man: A Social History of Rats and Man,"['1582344779', '1107156947']","1,067,857 in Books (",[],,1575663937,100
17,17,1881320189,Goodbye to the Buttermilk Sky,Julia Oliver,1994,River City Pub,http://images.amazon.com/images/P/1881320189.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1881320189.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg,"['Books', 'Literature &amp; Fiction', 'Genre Fiction']","['', '', '', '', '<b>Julia Oliver</b> is an independent writer living in Montgomery. In <br /> addition to this novel, she has written a much-anticipated second novel, <br /><i>Music of Falling Water</i>, and a highly acclaimed collection of short <br /> stories, <i>Seventeen Times as High as the Moon</i>.', '', '', '', '']",Goodbye to the Buttermilk Sky (Deep South Books),[],"4,498,161 in Books (",[],$9.73,0817311459,77
18,18,0440234743,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg,"['Books', 'Literature & Fiction', 'Literary']","['Alis Hawkins is an independent speech and language therapist, working in schools. She studied English at Cambridge University and lives in Canterbury.']",Testament,[],"19,310,758 in Books (",[],$6.16,0230700012,82
19,19,0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,http://images.amazon.com/images/P/0452264464.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg,"['Books', 'Christian Books & Bibles', 'Christian Living']",[],Beloved Come Closer,[],"5,348,097 in Books (",[],$7.18,1604773049,64
